id,content,timestamp,author_id,author_username,attachments,embed_1_url,embed_1_desc,embed_1_images,embed_2_url,embed_2_desc,embed_2_images
936633821170913300,<@&921766382620774410> https://twitter.com/EzekClub/status/1487075044593336324,2022-01-28T14:48:24.782000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1487075044593336324,"@RonBarr0nCrypto Got you a Joker. Good Luck on you.
@EzekClub #Phantabear",https://pbs.twimg.com/media/FKLH3GBX0AUWar8.jpg:large,,,
936666405321965630,<@&921766382620774410> https://twitter.com/EzekClub/status/1487107642204254208,2022-01-28T16:57:53.449000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1487107642204254208,"🐻❤️The #PhancyPets NFT Airdrop is available for #PhantaBear holders to claim on Ezek’s official website (https://t.co/NKa4l4tOII) . 🌟60% of the Phancy Pets Royalties fee will be given back to the community, https://t.co/ZhJEZ06ILt",,,,
936680532014673961,<@&921766382620774410> https://twitter.com/EzekClub/status/1487121763985408001,2022-01-28T17:54:01.515000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1487121763985408001,"Have you claimed your Phancy Pets?
@EzekClub #PHANTABEAR https://t.co/ve9kcdMvgO",,,,
936933810401067019,<@&921766382620774410> https://twitter.com/EzekClub/status/1487375057714565120,2022-01-29T10:40:27.788000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1487375057714565120,"🐻 5 x Karafuru Whitelists 🐻

#PhantaBear x Karafuru will be giving @karafurunft whitelists spots to 5 lucky people in Twitter! In addition, we are giving 5 spots to Instagram followers and 20 more spots exclusively to our discord members! https://t.co/VyurBBB5Cg",,,,
936959677806288896,<@&921766382620774410> https://twitter.com/EzekClub/status/1487400918912225289,2022-01-29T12:23:15.058000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1487400918912225289,"#PhantaBear 
#PhancyPets
LFG!!🐻🐻🐻
Double J!!
Jay Chou🚀🚀🚀
@EzekClub",https://pbs.twimg.com/media/FKRMWsZVIAMjW_R.jpg:large,,,
936982276825317396,<@&921766382620774410> https://twitter.com/EzekClub/status/1487423520699461632,2022-01-29T13:53:03.084000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1487423520699461632,"When #JayChou 🎵x #PhantaBear 🐻=？Plus VR?
Oops. Did we say too much? 🤫
Let’s look forward to Jay’s #metaverse journey 😎🎤
#🎵Singwithme 🎤
#Waiting for the hero 🐻, and I am the🐲
#EastBearRising🐻",https://pbs.twimg.com/media/FKRjzeiaUAMAHWD.jpg:large,,,
936985584700899359,<@&921766382620774410> https://twitter.com/EzekClub/status/1487426846719606786,2022-01-29T14:06:11.743000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1487426846719606786,"This is crazy! #PhantaBear #PhancyPets #JayChou
@EzekClub 
First Air drop. Create treasury to sweep Phantabear. Then more collab with @0xALINFT @KarafuruNft
🚀❤️",https://pbs.twimg.com/media/FKRRaSXVUAIEgvL.jpg:large,,,
937213849759805470,<@&921766382620774410> https://twitter.com/EzekClub/status/1487655103427657730,2022-01-30T05:13:14.374000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1487655103427657730,Thank you @jaesonma @OP3Nworld_ @EzekClub @KarafuruNft 👀😵‍💫✨🙌🏻🤝✅,https://pbs.twimg.com/media/FKT6_SDaAAAE14k.jpg:large,,,
937246346228944916,<@&921766382620774410> https://twitter.com/EzekClub/status/1487687596046450690,2022-01-30T07:22:22.136000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1487687596046450690,"#PhantaBear 
#Phantapets
How to Claim PhancyPets?
Following the steps to claim:

@EzekClub","https://pbs.twimg.com/media/FKU6iVlVkAAc8B6.png:large,https://pbs.twimg.com/media/FKU6lmxakAAI_yh.png:large",,,
937286172277895168,<@&921766382620774410> https://twitter.com/EzekClub/status/1487727423580155904,2022-01-30T10:00:37.406000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1487727423580155904,"🎊❤️Dear Brother Bearos and Sister Bearos,Discord Community members who were previously banned by mistake were ALL unbanned. The team officially welcomes everyone back. We apologize for any misunderstanding!",,,,
